Año,Trimestre,Provincia,Banda ancha fija,Dial up,total
2022,4,Buenos Aires,5,6.0,11.0
2022,4,Capital Federal,2,2.0,4.0
2022,4,Catamarca,71,1.0,72.0
2022,4,Chaco,144,5.0,149.0
2022,4,Chubut,168,904.0,1072.0
2022,4,Córdoba,1,68.0,69.0
2022,4,Corrientes,155,4.0,159.0
2022,4,Entre Ríos,271,22.0,293.0
2022,4,Formosa,62,0.0,62.0
2022,4,Jujuy,118,0.0,118.0
2022,4,La Pampa,114,171.0,285.0
2022,4,La Rioja,86,4.0,90.0
2022,4,Mendoza,291,777.0,1068.0
2022,4,Misiones,186,0.0,186.0
2022,4,Neuquén,160,468.0,628.0
2022,4,Río Negro,162,548.0,710.0
2022,4,Salta,206,5.0,211.0
2022,4,San Juan,104,281.0,385.0
2022,4,San Luis,135,192.0,327.0
2022,4,Santa Cruz,50,198.0,248.0
2022,4,Santa Fe,888,110.0,998.0
2022,4,Santiago Del Estero,119,2.0,121.0
2022,4,Tierra Del Fuego,55,312.0,367.0
2022,4,Tucumán,263,30.0,293.0
2022,3,Buenos Aires,5,6.0,11.0
2022,3,Capital Federal,2,2.0,4.0
2022,3,Catamarca,70,1.0,71.0
2022,3,Chaco,144,5.0,149.0
2022,3,Chubut,165,904.0,1069.0
2022,3,Córdoba,1,68.0,69.0
2022,3,Corrientes,145,4.0,149.0
2022,3,Entre Ríos,269,22.0,291.0
2022,3,Formosa,69,1.0,70.0
2022,3,Jujuy,119,0.0,119.0
2022,3,La Pampa,116,171.0,287.0
2022,3,La Rioja,87,4.0,91.0
2022,3,Mendoza,289,777.0,1066.0
2022,3,Misiones,182,0.0,182.0
2022,3,Neuquén,163,468.0,631.0
2022,3,Río Negro,160,548.0,708.0
2022,3,Salta,205,5.0,210.0
2022,3,San Juan,103,281.0,384.0
2022,3,San Luis,122,182.0,304.0
2022,3,Santa Cruz,49,198.0,247.0
2022,3,Santa Fe,888,110.0,998.0
2022,3,Santiago Del Estero,119,2.0,121.0
2022,3,Tierra Del Fuego,54,312.0,366.0
2022,3,Tucumán,263,30.0,293.0
2022,2,Buenos Aires,5,6.0,11.0
2022,2,Capital Federal,2,2.0,4.0
2022,2,Catamarca,67,1.0,68.0
2022,2,Chaco,144,5.0,149.0
2022,2,Chubut,162,904.0,1066.0
2022,2,Córdoba,1,68.0,69.0
2022,2,Corrientes,145,4.0,149.0
2022,2,Entre Ríos,269,22.0,291.0
2022,2,Formosa,68,0.0,68.0
2022,2,Jujuy,115,0.0,115.0
2022,2,La Pampa,111,171.0,282.0
2022,2,La Rioja,86,4.0,90.0
2022,2,Mendoza,279,777.0,1056.0
2022,2,Misiones,179,0.0,179.0
2022,2,Neuquén,162,468.0,630.0
2022,2,Río Negro,159,548.0,707.0
2022,2,Salta,203,5.0,208.0
2022,2,San Juan,100,281.0,381.0
2022,2,San Luis,122,182.0,304.0
2022,2,Santa Cruz,49,198.0,247.0
2022,2,Santa Fe,879,110.0,989.0
2022,2,Santiago Del Estero,118,2.0,120.0
2022,2,Tierra Del Fuego,53,312.0,365.0
2022,2,Tucumán,254,30.0,284.0
2022,1,Buenos Aires,5,6.0,11.0
2022,1,Capital Federal,1,2.0,3.0
2022,1,Catamarca,62,1.0,63.0
2022,1,Chaco,144,5.0,149.0
2022,1,Chubut,171,927.0,1098.0
2022,1,Córdoba,1,74.0,75.0
2022,1,Corrientes,143,4.0,147.0
2022,1,Entre Ríos,268,22.0,290.0
2022,1,Formosa,55,0.0,55.0
2022,1,Jujuy,117,0.0,117.0
2022,1,La Pampa,110,172.0,282.0
2022,1,La Rioja,84,4.0,88.0
2022,1,Mendoza,274,786.0,1060.0
2022,1,Misiones,172,0.0,172.0
2022,1,Neuquén,149,471.0,620.0
2022,1,Río Negro,157,553.0,710.0
2022,1,Salta,198,5.0,203.0
2022,1,San Juan,88,290.0,378.0
2022,1,San Luis,120,185.0,305.0
2022,1,Santa Cruz,49,204.0,253.0
2022,1,Santa Fe,870,115.0,985.0
2022,1,Santiago Del Estero,116,2.0,118.0
2022,1,Tierra Del Fuego,52,313.0,365.0
2022,1,Tucumán,246,30.0,276.0
2021,4,Buenos Aires,5,6.0,11.0
2021,4,Capital Federal,1,2.0,3.0
2021,4,Catamarca,59,1.0,60.0
2021,4,Chaco,144,5.0,149.0
2021,4,Chubut,159,944.0,1103.0
2021,4,Córdoba,987,77.0,1064.0
2021,4,Corrientes,136,4.0,140.0
2021,4,Entre Ríos,265,22.0,287.0
2021,4,Formosa,54,0.0,54.0
2021,4,Jujuy,114,0.0,114.0
2021,4,La Pampa,107,173.0,280.0
2021,4,La Rioja,83,4.0,87.0
2021,4,Mendoza,267,804.0,1071.0
2021,4,Misiones,171,0.0,171.0
2021,4,Neuquén,147,477.0,624.0
2021,4,Río Negro,153,564.0,717.0
2021,4,Salta,199,6.0,205.0
2021,4,San Juan,80,291.0,371.0
2021,4,San Luis,119,187.0,306.0
2021,4,Santa Cruz,48,210.0,258.0
2021,4,Santa Fe,866,176.0,1042.0
2021,4,Santiago Del Estero,116,2.0,118.0
2021,4,Tierra Del Fuego,52,315.0,367.0
2021,4,Tucumán,239,30.0,269.0
2021,3,Buenos Aires,4,5.0,9.0
2021,3,Capital Federal,1,2.0,3.0
2021,3,Catamarca,56,1.0,57.0
2021,3,Chaco,140,3.0,143.0
2021,3,Chubut,155,800.0,955.0
2021,3,Córdoba,947,62.0,1009.0
2021,3,Corrientes,134,3.0,137.0
2021,3,Entre Ríos,260,15.0,275.0
2021,3,Formosa,53,0.0,53.0
2021,3,Jujuy,111,0.0,111.0
2021,3,La Pampa,100,116.0,216.0
2021,3,La Rioja,82,3.0,85.0
2021,3,Mendoza,255,619.0,874.0
2021,3,Misiones,159,0.0,159.0
2021,3,Neuquén,139,373.0,512.0
2021,3,Río Negro,144,501.0,645.0
2021,3,Salta,196,2.0,198.0
2021,3,San Juan,79,256.0,335.0
2021,3,San Luis,118,148.0,266.0
2021,3,Santa Cruz,49,197.0,246.0
2021,3,Santa Fe,841,151.0,992.0
2021,3,Santiago Del Estero,115,1.0,116.0
2021,3,Tierra Del Fuego,50,289.0,339.0
2021,3,Tucumán,232,25.0,257.0
2021,2,Buenos Aires,4,5.0,9.0
2021,2,Capital Federal,1,2.0,3.0
2021,2,Catamarca,56,1.0,57.0
2021,2,Chaco,141,3.0,144.0
